REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Individuals_affected,Families_affected,Houses_damaged,Houses_destroyed,Season,Latitude,Longitude
Eastern,7,Laghman,701,Mehtarlam,2016-01-31,Flood / flash flood,0,0,62,10,8,2,Winter,34.666954,70.071718
North Eastern,15,Badakhshan,1504,Arghanjkhwa,2016-02-13,Avalanche,3,0,21,3,0,0,Winter,37.366577,70.970672
Central Highland,22,Daykundi,2207,Sang-e-Takht,2016-03-07,Flood / flash flood,10,1,19,8,0,5,Spring,34.178306,65.86074
Northern,18,Balkh,1803,Shortepa,2016-03-10,Flood / flash flood,0,0,1533,219,0,219,Spring,37.213477,66.83258
Western,31,Farah,3101,Farah,2016-03-11,Flood / flash flood,18,9,996,150,88,32,Spring,32.23408,62.222932
Western,30,Hirat,3003,Kushk,2016-03-11,Flood / flash flood,0,0,169,21,21,0,Spring,35.013721,62.201428
Eastern,13,Kunar,1306,Shigal Wa Sheltan,2016-03-13,Flood / flash flood,0,0,21,3,2,0,Spring,35.019947,71.233756
Eastern,13,Kunar,1301,Asadabad,2016-03-13,Flood / flash flood,0,0,7,1,1,0,Spring,34.859883,71.117064
Eastern,13,Kunar,1313,Chapadara,2016-03-13,Flood / flash flood,0,0,42,6,6,0,Spring,34.901138,70.700645
Eastern,14,Nuristan,1403,Duab,2016-03-13,Flood / flash flood,0,0,7,1,1,0,Spring,35.216128,70.35288
Eastern,13,Kunar,1310,Dangam,2016-03-13,Flood / flash flood,0,0,28,4,4,0,Spring,35.015631,71.446189
Eastern,13,Kunar,1311,Barkunar,2016-03-13,Flood / flash flood,0,0,28,4,4,0,Spring,35.062438,71.392415
Eastern,13,Kunar,1302,Watapur,2016-03-13,Flood / flash flood,0,0,15,2,2,0,Spring,34.972029,71.079464
Eastern,14,Nuristan,1404,Nurgeram,2016-03-13,Flood / flash flood,0,0,77,11,11,0,Spring,35.073995,70.469496
Eastern,13,Kunar,1307,Dara-e-Pech,2016-03-13,Flood / flash flood,0,0,56,8,4,4,Spring,34.931473,70.911379
Southern,32,Hilmand,3204,Nawa-e-Barakzaiy,2016-03-17,Flood / flash flood,0,0,83,11,11,0,Spring,31.355971,64.217749
Southern,32,Hilmand,3203,Nad-e-Ali,2016-03-17,Flood / flash flood,0,0,537,72,70,2,Spring,31.598961,63.835034
Southern,24,Zabul,2401,Qalat,2016-03-17,Flood / flash flood,0,0,19,3,0,3,Spring,32.187366,66.953465
Western,30,Hirat,3006,Pashtunzarghun,2016-03-17,Flood / flash flood,0,0,82,10,10,0,Spring,34.13202,62.728806
Central Highland,22,Daykundi,2209,Miramor,2016-03-17,Flood / flash flood,0,1,85,11,0,11,Spring,33.826512,66.987777
Southern,33,Kandahar,3305,Daman,2016-03-18,Flood / flash flood,0,0,135,20,18,2,Spring,31.156011,65.741152
Southern,32,Hilmand,3201,Lashkargah,2016-03-18,Flood / flash flood,0,0,159,21,21,0,Spring,31.451536,64.522944
Southern,33,Kandahar,3311,Spinboldak,2016-03-18,Flood / flash flood,0,0,230,34,34,0,Spring,30.952222,66.135407
